Date,Code,O,H,L,C,UL,LL,Vo,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo
2023-12-01,13010,3845.0,3850.0,3805.0,3805.0,0,0,15700.0,59949500.0,1.0,3845.0,3850.0,3805.0,3805.0,15700.0
2023-12-04,13010,3800.0,3815.0,3785.0,3795.0,0,0,15000.0,57025000.0,1.0,3800.0,3815.0,3785.0,3795.0,15000.0
2023-12-05,13010,3780.0,3810.0,3780.0,3780.0,0,0,11700.0,44308500.0,1.0,3780.0,3810.0,3780.0,3780.0,11700.0
2023-12-06,13010,3775.0,3820.0,3775.0,3810.0,0,0,15600.0,59346000.0,1.0,3775.0,3820.0,3775.0,3810.0,15600.0
2023-12-07,13010,3795.0,3795.0,3770.0,3780.0,0,0,14300.0,54061500.0,1.0,3795.0,3795.0,3770.0,3780.0,14300.0
2023-12-08,13010,3770.0,3770.0,3670.0,3700.0,0,0,43500.0,161760500.0,1.0,3770.0,3770.0,3670.0,3700.0,43500.0
2023-12-11,13010,3710.0,3785.0,3710.0,3785.0,0,0,20400.0,76591500.0,1.0,3710.0,3785.0,3710.0,3785.0,20400.0
2023-12-12,13010,3800.0,3820.0,3780.0,3795.0,0,0,14300.0,54352000.0,1.0,3800.0,3820.0,3780.0,3795.0,14300.0
2023-12-13,13010,3795.0,3795.0,3760.0,3760.0,0,0,7200.0,27162000.0,1.0,3795.0,3795.0,3760.0,3760.0,7200.0
2023-12-14,13010,3795.0,3795.0,3745.0,3760.0,0,0,21400.0,80560500.0,1.0,3795.0,3795.0,3745.0,3760.0,21400.0
2023-12-15,13010,3750.0,3755.0,3700.0,3725.0,0,0,18400.0,68559500.0,1.0,3750.0,3755.0,3700.0,3725.0,18400.0
2023-12-18,13010,3730.0,3730.0,3670.0,3720.0,0,0,14500.0,53621000.0,1.0,3730.0,3730.0,3670.0,3720.0,14500.0
2023-12-19,13010,3725.0,3745.0,3710.0,3745.0,0,0,12900.0,48155500.0,1.0,3725.0,3745.0,3710.0,3745.0,12900.0
2023-12-20,13010,3755.0,3765.0,3730.0,3730.0,0,0,11500.0,43026500.0,1.0,3755.0,3765.0,3730.0,3730.0,11500.0
2023-12-21,13010,3700.0,3730.0,3700.0,3710.0,0,0,12900.0,47893500.0,1.0,3700.0,3730.0,3700.0,3710.0,12900.0
2023-12-22,13010,3720.0,3750.0,3710.0,3725.0,0,0,13200.0,49162500.0,1.0,3720.0,3750.0,3710.0,3725.0,13200.0
2023-12-25,13010,3740.0,3740.0,3700.0,3715.0,0,0,11200.0,41599000.0,1.0,3740.0,3740.0,3700.0,3715.0,11200.0
2023-12-26,13010,3710.0,3740.0,3710.0,3730.0,0,0,10200.0,38011500.0,1.0,3710.0,3740.0,3710.0,3730.0,10200.0
2023-12-27,13010,3730.0,3760.0,3720.0,3755.0,0,0,19200.0,71790500.0,1.0,3730.0,3760.0,3720.0,3755.0,19200.0
2023-12-28,13010,3770.0,3780.0,3750.0,3770.0,0,0,9900.0,37291000.0,1.0,3770.0,3780.0,3750.0,3770.0,9900.0
2023-12-29,13010,3770.0,3780.0,3745.0,3770.0,0,0,12000.0,45160000.0,1.0,3770.0,3780.0,3745.0,3770.0,12000.0
2023-12-01,13320,740.1,744.4,739.2,742.0,0,0,1035600.0,767792080.0,1.0,740.1,744.4,739.2,742.0,1035600.0
2023-12-04,13320,736.6,740.7,729.7,739.6,0,0,1151200.0,849030150.0,1.0,736.6,740.7,729.7,739.6,1151200.0
