Date,Code,AdjO,AdjH,AdjL,AdjC,AdjVo
2021-09-01,13010,3025.0,3030.0,3005.0,3030.0,9000.0
2021-09-02,13010,3030.0,3040.0,3015.0,3040.0,6500.0
2021-09-03,13010,3030.0,3055.0,3025.0,3045.0,19100.0
2021-09-06,13010,3045.0,3060.0,3035.0,3060.0,12800.0
2021-09-07,13010,3065.0,3090.0,3060.0,3085.0,18300.0
2021-09-08,13010,3090.0,3090.0,3070.0,3085.0,12500.0
2021-09-09,13010,3085.0,3085.0,3045.0,3065.0,9200.0
2021-09-10,13010,3035.0,3095.0,3035.0,3095.0,18900.0
2021-09-13,13010,3090.0,3125.0,3085.0,3125.0,18000.0
2021-09-14,13010,3125.0,3135.0,3105.0,3135.0,15300.0
2021-09-15,13010,3110.0,3115.0,3075.0,3095.0,11900.0
2021-09-16,13010,3095.0,3120.0,3085.0,3120.0,10000.0
2021-09-17,13010,3125.0,3130.0,3105.0,3130.0,17200.0
2021-09-21,13010,3100.0,3100.0,3050.0,3050.0,18600.0
2021-09-22,13010,3050.0,3060.0,3005.0,3005.0,12700.0
2021-09-24,13010,3010.0,3065.0,3010.0,3065.0,18500.0
2021-09-27,13010,3065.0,3085.0,3055.0,3065.0,12400.0
2021-09-28,13010,3055.0,3095.0,3040.0,3070.0,16300.0
2021-09-29,13010,3015.0,3055.0,3005.0,3055.0,15200.0
2021-09-30,13010,3060.0,3085.0,3020.0,3020.0,10700.0
2021-09-01,13320,596.0,606.0,594.0,604.0,1234200.0
2021-09-02,13320,602.0,607.0,599.0,606.0,1112100.0
2021-09-03,13320,615.0,627.0,614.0,624.0,2903800.0
2021-09-06,13320,630.0,632.0,624.0,625.0,1559400.0
2021-09-07,13320,629.0,630.0,619.0,627.0,1431800.0
2021-09-08,13320,622.0,625.0,617.0,624.0,1487100.0
2021-09-09,13320,624.0,626.0,618.0,624.0,1352300.0
2021-09-10,13320,627.0,632.0,623.0,632.0,2495700.0
2021-09-13,13320,633.0,640.0,631.0,640.0,1655200.0
2021-09-14,13320,644.0,649.0,636.0,641.0,1827800.0
2021-09-15,13320,643.0,645.0,634.0,636.0,1455100.0
2021-09-16,13320,640.0,645.0,639.0,644.0,1425600.0
2021-09-17,13320,641.0,647.0,638.0,647.0,1771300.0
2021-09-21,13320,635.0,645.0,633.0,642.0,1480500.0
2021-09-22,13320,652.0,655.0,635.0,635.0,2794700.0
2021-09-24,13320,653.0,660.0,648.0,659.0,2444900.0
2021-09-27,13320,660.0,666.0,658.0,663.0,1881000.0
2021-09-28,13320,664.0,665.0,652.0,658.0,1671100.0
2021-09-29,13320,648.0,655.0,641.0,654.0,1452600.0
2021-09-30,13320,655.0,659.0,647.0,651.0,1673900.0
2021-09-01,13330,845.0,856.0,844.3,851.3,552900.0
2021-09-02,13330,849.0,849.0,832.7,836.7,591600.0
2021-09-03,13330,839.7,845.3,833.3,838.7,562800.0
2021-09-06,13330,841.7,842.7,826.0,828.3,614100.0
2021-09-07,13330,859.3,874.7,854.7,874.7,1704600.0
2021-09-08,13330,869.3,872.3,857.7,863.7,864300.0
2021-09-09,13330,856.7,878.3,855.0,878.3,1059300.0
2021-09-10,13330,881.7,884.0,873.7,882.0,889500.0
2021-09-13,13330,885.7,901.7,885.7,901.7,617700.0
2021-09-14,13330,902.7,905.3,897.7,904.7,601200.0
2021-09-15,13330,895.7,898.0,887.0,888.0,488700.0
2021-09-16,13330,889.7,901.3,888.0,900.0,470400.0
2021-09-17,13330,900.0,901.3,893.7,897.7,511800.0
2021-09-21,13330,877.0,891.0,875.0,884.7,381900.0
2021-09-22,13330,884.3,888.3,873.3,873.3,334500.0
2021-09-24,13330,894.3,894.7,886.7,894.7,478500.0
2021-09-27,13330,894.7,903.7,891.7,902.3,563100.0
2021-09-28,13330,904.7,907.3,896.7,901.7,603000.0
2021-09-29,13330,887.3,895.3,881.7,895.3,492900.0
2021-09-30,13330,898.3,901.3,884.3,885.3,779700.0
2021-09-01,13750,1631.0,1641.0,1620.0,1630.0,39100.0
2021-09-02,13750,1628.0,1635.0,1627.0,1634.0,54300.0
2021-09-03,13750,1634.0,1636.0,1610.0,1629.0,72200.0
2021-09-06,13750,1628.0,1631.0,1620.0,1626.0,63900.0
2021-09-07,13750,1631.0,1667.0,1631.0,1649.0,121800.0
2021-09-08,13750,1644.0,1661.0,1637.0,1645.0,85900.0
2021-09-09,13750,1645.0,1664.0,1642.0,1662.0,96900.0
2021-09-10,13750,1653.0,1662.0,1646.0,1657.0,91500.0
2021-09-13,13750,1657.0,1667.0,1650.0,1667.0,69400.0
2021-09-14,13750,1667.0,1674.0,1664.0,1673.0,64900.0
2021-09-15,13750,1673.0,1687.0,1655.0,1658.0,85600.0
2021-09-16,13750,1650.0,1650.0,1592.0,1592.0,255600.0
2021-09-17,13750,1597.0,1601.0,1574.0,1587.0,286300.0
2021-09-21,13750,1580.0,1584.0,1570.0,1582.0,123100.0
2021-09-22,13750,1593.0,1614.0,1586.0,1590.0,90300.0
2021-09-24,13750,1610.0,1611.0,1597.0,1602.0,68000.0
2021-09-27,13750,1610.0,1610.0,1600.0,1601.0,56600.0
2021-09-28,13750,1609.0,1610.0,1601.0,1610.0,68000.0
2021-09-29,13750,1580.0,1581.0,1560.0,1574.0,141800.0
2021-09-30,13750,1607.0,1607.0,1565.0,1565.0,76000.0
2021-09-01,13770,3620.0,3650.0,3615.0,3625.0,82300.0
2021-09-02,13770,3600.0,3625.0,3595.0,3620.0,87100.0
2021-09-03,13770,3600.0,3640.0,3600.0,3630.0,103200.0
2021-09-06,13770,3640.0,3655.0,3630.0,3650.0,60900.0
2021-09-07,13770,3675.0,3685.0,3660.0,3665.0,94200.0
2021-09-08,13770,3640.0,3680.0,3640.0,3675.0,85300.0
2021-09-09,13770,3650.0,3685.0,3645.0,3655.0,70400.0
2021-09-10,13770,3640.0,3685.0,3640.0,3685.0,106500.0
2021-09-13,13770,3680.0,3685.0,3660.0,3670.0,62900.0
2021-09-14,13770,3700.0,3705.0,3660.0,3685.0,104700.0
2021-09-15,13770,3655.0,3660.0,3590.0,3595.0,98400.0
2021-09-16,13770,3620.0,3665.0,3620.0,3660.0,80000.0
2021-09-17,13770,3680.0,3685.0,3645.0,3680.0,84200.0
2021-09-21,13770,3610.0,3640.0,3610.0,3620.0,58700.0
2021-09-22,13770,3630.0,3630.0,3550.0,3550.0,101700.0
2021-09-24,13770,3595.0,3610.0,3575.0,3600.0,110000.0
2021-09-27,13770,3620.0,3620.0,3555.0,3560.0,84500.0
2021-09-28,13770,3555.0,3555.0,3515.0,3550.0,94100.0
2021-09-29,13770,3515.0,3520.0,3480.0,3510.0,114400.0
2021-09-30,13770,3510.0,3540.0,3505.0,3510.0,57600.0
2021-09-01,13790,1999.0,2010.0,1994.0,2003.0,91500.0
2021-09-02,13790,1998.0,2001.0,1973.0,1988.0,90700.0
2021-09-03,13790,1988.0,1999.0,1967.0,1991.0,111100.0
2021-09-06,13790,2000.0,2000.0,1985.0,1995.0,58600.0
2021-09-07,13790,1998.0,2007.0,1994.0,1997.0,65900.0
2021-09-08,13790,1997.0,2005.0,1993.0,2005.0,55900.0
2021-09-09,13790,2000.0,2009.0,1981.0,1983.0,78800.0
2021-09-10,13790,1990.0,1995.0,1971.0,1979.0,99200.0
2021-09-13,13790,1978.0,1989.0,1965.0,1988.0,58700.0
2021-09-14,13790,1988.0,2007.0,1983.0,2004.0,69600.0
2021-09-15,13790,1989.0,1999.0,1986.0,1992.0,57700.0
2021-09-16,13790,2000.0,2006.0,1990.0,2003.0,60300.0
2021-09-17,13790,2005.0,2005.0,1991.0,1995.0,55000.0
2021-09-21,13790,1984.0,1990.0,1974.0,1978.0,69200.0
2021-09-22,13790,1976.0,1981.0,1950.0,1950.0,91400.0
2021-09-24,13790,1968.0,1987.0,1964.0,1986.0,52900.0
2021-09-27,13790,1971.0,1977.0,1961.0,1963.0,69900.0
2021-09-28,13790,1968.0,1971.0,1962.0,1967.0,57700.0
2021-09-29,13790,1951.0,1960.0,1941.0,1960.0,116500.0
2021-09-30,13790,1970.0,1974.0,1957.0,1967.0,53100.0
2021-09-01,14140,1232.5,1255.0,1230.0,1252.5,809200.0
2021-09-02,14140,1240.0,1248.8,1232.5,1238.8,649200.0
2021-09-03,14140,1245.0,1252.5,1228.8,1247.5,1000400.0
2021-09-06,14140,1257.5,1265.0,1246.3,1255.0,838000.0
2021-09-07,14140,1260.0,1265.0,1255.0,1262.5,597200.0
2021-09-08,14140,1265.0,1275.0,1260.0,1275.0,568400.0
2021-09-09,14140,1267.5,1275.0,1265.0,1272.5,459600.0
2021-09-10,14140,1265.0,1290.0,1265.0,1290.0,612800.0
2021-09-13,14140,1282.5,1297.5,1277.5,1295.0,452400.0
2021-09-14,14140,1300.0,1305.0,1295.0,1302.5,472800.0
2021-09-15,14140,1285.0,1287.5,1270.0,1277.5,512400.0
2021-09-16,14140,1270.0,1285.0,1265.0,1282.5,408800.0
2021-09-17,14140,1285.0,1295.0,1277.5,1285.0,606400.0
2021-09-21,14140,1260.0,1275.0,1255.0,1265.0,556400.0
2021-09-22,14140,1267.5,1275.0,1260.0,1267.5,577200.0
2021-09-24,14140,1280.0,1287.5,1270.0,1272.5,346400.0
2021-09-27,14140,1282.5,1282.5,1260.0,1260.0,343600.0
2021-09-28,14140,1265.0,1265.0,1246.3,1255.0,481200.0
2021-09-29,14140,1237.5,1242.5,1226.3,1235.0,608400.0
2021-09-30,14140,1235.0,1246.3,1230.0,1240.0,570800.0
2021-09-01,14170,2201.0,2242.0,2199.0,2221.0,519000.0
2021-09-02,14170,2222.0,2232.0,2193.0,2231.0,383000.0
2021-09-03,14170,2230.0,2259.0,2223.0,2257.0,347800.0
2021-09-06,14170,2270.0,2299.0,2260.0,2285.0,262800.0
2021-09-07,14170,2299.0,2317.0,2276.0,2288.0,364300.0
2021-09-08,14170,2286.0,2332.0,2281.0,2331.0,298100.0
2021-09-09,14170,2315.0,2334.0,2290.0,2300.0,259400.0
